City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Saskylakh,71.9167,114.0833,1.08,96,99,3.76,RU,2022-04-26 21:14:19
68,Provideniya,64.3833,-173.3,26.71,80,75,13.42,RU,2022-04-26 21:19:17
69,Ponta Do Sol,32.6667,-17.1,62.71,65,26,4.45,PT,2022-04-26 21:19:17
70,Lata,40.1629,-8.3327,50.59,95,1,1.39,PT,2022-04-26 21:19:18
71,Springbok,-29.6643,17.8865,58.68,20,0,12.1,ZA,2022-04-26 21:18:42
72,Macas,-2.3167,-78.1167,78.55,69,20,2.3,EC,2022-04-26 21:19:18
73,Cape Town,-33.9258,18.4232,62.28,70,0,19.57,ZA,2022-04-26 21:19:19
74,Tacuarembo,-31.7333,-55.9833,75.16,89,39,10.98,UY,2022-04-26 21:16:26
75,Magugu,-4.0167,35.7667,67.68,85,100,1.72,TZ,2022-04-26 21:19:19
76,Mount Isa,-20.7333,139.5,67.77,94,0,2.3,AU,2022-04-26 21:19:20
77,Chokurdakh,70.6333,147.9167,7.29,97,100,6.46,RU,2022-04-26 21:19:20
78,Maniitsoq,65.4167,-52.9,31.96,98,100,34.18,GL,2022-04-26 21:19:21
79,Bekesszentandras,46.8667,20.4833,53.65,72,85,8.05,HU,2022-04-26 21:19:21
80,Mount Darwin,-16.7725,31.5838,66.0,76,95,5.44,ZW,2022-04-26 21:19:21
81,Carbonia,39.1672,8.5222,59.65,72,0,4.16,IT,2022-04-26 21:19:22
82,Victor Harbor,-35.5667,138.6167,59.68,91,100,9.28,AU,2022-04-26 21:19:22
83,Saint-Philippe,-21.3585,55.7679,72.99,83,38,10.71,RE,2022-04-26 21:19:18
84,Southbridge,42.0751,-72.0334,53.92,97,100,3.29,US,2022-04-26 21:19:23
85,Plerin,48.5425,-2.7798,52.2,80,0,11.5,FR,2022-04-26 21:19:23
86,Ipixuna,-1.7625,-48.8043,75.96,95,100,4.16,BR,2022-04-26 21:19:24
87,Pevek,69.7008,170.3133,29.12,68,99,10.76,RU,2022-04-26 21:18:47
88,Bengkulu,-3.8004,102.2655,76.93,90,58,5.3,ID,2022-04-26 21:20:24
89,Prince Rupert,54.3161,-130.3201,49.69,66,75,6.91,CA,2022-04-26 21:15:32
90,Kununurra,-15.7667,128.7333,67.98,88,100,1.14,AU,2022-04-26 21:20:25
91,Albany,42.6001,-73.9662,53.55,86,100,2.19,US,2022-04-26 21:18:21
92,Port Elizabeth,-33.918,25.5701,55.69,82,0,4.61,ZA,2022-04-26 21:17:21
93,Te Anau,-45.4167,167.7167,47.8,83,51,0.67,NZ,2022-04-26 21:20:26
94,Rosita,13.9268,-84.4032,80.53,89,37,3.94,NI,2022-04-26 21:20:26
95,Turukhansk,65.8167,87.9833,10.53,94,31,4.68,RU,2022-04-26 21:18:40
96,Esperance,-33.8667,121.9,58.84,67,1,5.3,AU,2022-04-26 21:20:27
97,Malanje,-9.5402,16.341,66.04,93,99,2.8,AO,2022-04-26 21:20:27
98,Hithadhoo,-0.6,73.0833,84.7,72,98,7.9,MV,2022-04-26 21:20:28
99,Mus,39.0,41.75,54.18,75,100,2.42,TR,2022-04-26 21:20:28
100,Raymondville,26.4815,-97.7831,76.08,90,100,14.61,US,2022-04-26 21:20:28
101,Kaiu,59.0129,25.0551,42.39,86,15,2.17,EE,2022-04-26 21:18:26
102,Mahebourg,-20.4081,57.7,76.24,94,40,9.22,MU,2022-04-26 21:20:29
103,Sobradinho,-12.8333,-39.1,71.58,91,5,4.34,BR,2022-04-26 21:20:29
104,Jumla,29.2747,82.1838,46.18,63,0,5.1,NP,2022-04-26 21:20:30
105,Talnakh,69.4865,88.3972,11.21,95,92,7.92,RU,2022-04-26 21:20:30
106,Barrow,71.2906,-156.7887,10.42,72,100,14.97,US,2022-04-26 21:20:31
107,Bilma,18.6853,12.9164,90.18,9,0,3.74,NE,2022-04-26 21:20:31
108,Rocha,-34.4833,-54.3333,71.89,82,52,13.82,UY,2022-04-26 21:20:31
109,Fukue,32.6881,128.8419,63.54,94,100,7.56,JP,2022-04-26 21:20:32
110,Kahului,20.8947,-156.47,82.42,65,40,23.02,US,2022-04-26 21:18:06
111,Fairbanks,64.8378,-147.7164,48.81,57,100,5.75,US,2022-04-26 21:17:22
112,Neiafu,-18.65,-173.9833,74.08,94,75,2.3,TO,2022-04-26 21:20:32
113,Alugan,12.2188,125.4808,80.55,86,100,11.21,PH,2022-04-26 21:20:33
114,Kudahuvadhoo,2.6708,72.8944,83.77,72,62,2.91,MV,2022-04-26 21:20:33
115,Torbay,47.6666,-52.7314,40.75,91,100,15.01,CA,2022-04-26 21:20:34
116,El Sauzal,31.9,-116.6833,66.42,78,100,7.02,MX,2022-04-26 21:20:34
117,Saint George,37.1041,-113.5841,86.63,7,0,9.22,US,2022-04-26 21:16:39
118,Tual,-5.6667,132.75,83.52,73,98,4.65,ID,2022-04-26 21:20:35
119,Hilo,19.7297,-155.09,80.28,82,75,5.75,US,2022-04-26 21:20:35
120,Umea,63.8284,20.2597,28.9,59,0,5.75,SE,2022-04-26 21:20:35
121,Mountain Home,43.133,-115.6912,60.28,100,75,13.8,US,2022-04-26 21:20:36
122,Alofi,-19.0595,-169.9187,75.09,88,100,1.14,NU,2022-04-26 21:20:15
123,Kruisfontein,-34.0033,24.7314,52.88,91,0,6.82,ZA,2022-04-26 21:17:19
124,Chuy,-33.6971,-53.4616,68.9,87,40,9.71,UY,2022-04-26 21:17:23
125,Camp Verde,34.5636,-111.8543,86.94,12,100,17.34,US,2022-04-26 21:20:37
126,Ribeira Grande,38.5167,-28.7,62.91,89,72,23.94,PT,2022-04-26 21:17:57
127,Cap Malheureux,-19.9842,57.6142,76.46,76,10,5.01,MU,2022-04-26 21:19:43
128,Upernavik,72.7868,-56.1549,29.1,77,89,5.7,GL,2022-04-26 21:18:11
129,Ponta Delgada,37.7333,-25.6667,61.52,88,20,10.36,PT,2022-04-26 21:20:11
130,Pacifica,37.6138,-122.4869,69.6,67,20,27.63,US,2022-04-26 21:15:45
131,Victoria,22.2855,114.1577,81.32,85,4,5.01,HK,2022-04-26 21:20:02
132,Bethel,41.3712,-73.414,57.07,91,100,4.61,US,2022-04-26 21:20:38
133,Mpulungu,-8.7623,31.1141,73.36,81,100,7.65,ZM,2022-04-26 21:20:38
134,Mazagao,-0.115,-51.2894,84.25,90,88,3.65,BR,2022-04-26 21:21:39
135,Pozo Colorado,-23.4923,-58.7972,96.8,31,0,14.43,PY,2022-04-26 21:21:39
136,Bredasdorp,-34.5322,20.0403,55.76,76,1,1.97,ZA,2022-04-26 21:18:01
137,Sitka,57.0531,-135.33,46.29,81,75,4.61,US,2022-04-26 21:21:40
138,Severobaykalsk,55.65,109.3167,22.01,94,100,0.81,RU,2022-04-26 21:21:40
139,Kodiak,57.79,-152.4072,42.31,75,100,10.36,US,2022-04-26 21:21:41
140,Malindi,-3.2175,40.1191,80.6,79,100,12.97,KE,2022-04-26 21:21:41
141,Seoul,37.5683,126.9778,54.84,37,0,6.91,KR,2022-04-26 21:20:00
142,Yellowknife,62.456,-114.3525,46.92,46,20,6.91,CA,2022-04-26 21:20:07
143,Beroroha,-21.6667,45.1667,74.53,84,100,8.19,MG,2022-04-26 21:21:42
144,Luderitz,-26.6481,15.1594,67.06,40,0,8.93,NA,2022-04-26 21:18:12
145,Kloulklubed,7.0419,134.2556,73.9,90,100,4.83,PW,2022-04-26 21:21:43
146,Kavaratti,10.5669,72.642,84.81,74,25,8.9,IN,2022-04-26 21:16:48
147,Cabedelo,-6.9811,-34.8339,79.47,74,23,15.61,BR,2022-04-26 21:21:43
148,Rosehearty,57.697,-2.1132,43.61,67,94,9.04,GB,2022-04-26 21:21:44
149,Ardu,59.0986,25.3541,42.39,83,44,3.13,EE,2022-04-26 21:21:44
150,Lavrentiya,65.5833,-171.0,23.72,85,77,3.96,RU,2022-04-26 21:21:44
151,Coihaique,-45.5752,-72.0662,38.01,92,45,6.82,CL,2022-04-26 21:21:45
152,Hamilton,39.1834,-84.5333,59.59,47,0,16.11,US,2022-04-26 21:19:22
153,Sur,22.5667,59.5289,86.47,49,25,10.51,OM,2022-04-26 21:20:10
154,Darnah,32.767,22.6367,63.03,67,4,2.95,LY,2022-04-26 21:21:45
155,Taonan,45.3333,122.7833,40.3,25,2,12.93,CN,2022-04-26 21:21:46
156,Mehamn,71.0357,27.8492,22.91,86,100,32.21,NO,2022-04-26 21:21:46
157,Hami,42.8,93.45,55.98,48,100,3.91,CN,2022-04-26 21:20:08
158,Killybegs,54.6333,-8.45,49.91,78,90,10.67,IE,2022-04-26 21:21:47
159,Diu,20.7141,70.9822,81.5,57,0,12.15,IN,2022-04-26 21:21:47
160,San Jeronimo,-11.9472,-75.2829,59.95,59,94,5.19,PE,2022-04-26 21:21:48
161,Tiarei,-17.5333,-149.3333,84.22,75,17,22.08,PF,2022-04-26 21:21:48
162,Manado,1.487,124.8455,77.77,94,40,2.3,ID,2022-04-26 21:21:48
163,Santa Vitoria Do Palmar,-33.5189,-53.3681,68.79,87,37,9.28,BR,2022-04-26 21:21:49
164,Kenai,60.5544,-151.2583,51.89,61,0,9.22,US,2022-04-26 21:21:49
165,Salalah,17.0151,54.0924,82.49,74,20,4.61,OM,2022-04-26 21:19:49
