City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Dunedin,-45.8742,170.5036,54.81,77,84,11.01,NZ,2022-04-26 19:02:33
67,Kangaatsiaq,68.3065,-53.4641,32.9,92,100,9.31,GL,2022-04-26 19:04:39
68,Kapaa,22.0752,-159.319,76.98,91,100,18.41,US,2022-04-26 19:04:39
69,Ahipara,-35.1667,173.1667,61.43,75,92,6.42,NZ,2022-04-26 19:04:39
70,Bathsheba,13.2167,-59.5167,81.09,75,100,5.35,BB,2022-04-26 19:04:40
71,Cidreira,-30.1811,-50.2056,73.38,82,17,12.44,BR,2022-04-26 19:00:55
72,Olonets,60.9847,32.9698,33.82,94,42,6.6,RU,2022-04-26 19:04:40
73,Mehamn,71.0357,27.8492,19.42,76,100,29.97,NO,2022-04-26 19:04:41
74,Leningradskiy,69.3833,178.4167,7.3,93,67,9.86,RU,2022-04-26 19:04:41
75,Kaitangata,-46.2817,169.8464,49.53,93,72,6.69,NZ,2022-04-26 19:04:42
76,Adrar,20.5022,-10.0711,79.47,22,0,10.4,MR,2022-04-26 19:04:42
77,Beringovskiy,63.05,179.3167,32.11,98,100,10.25,RU,2022-04-26 19:04:42
78,Cuitareo,19.6167,-100.6,69.6,39,72,5.73,MX,2022-04-26 19:04:43
79,Palmerston,-12.486,130.9833,80.58,89,40,2.3,AU,2022-04-26 19:04:43
80,Kitui,-1.367,38.0106,66.29,88,100,4.81,KE,2022-04-26 19:04:44
81,Qaqortoq,60.7167,-46.0333,39.27,76,99,2.06,GL,2022-04-26 19:00:30
82,Ushuaia,-54.8,-68.3,38.53,91,100,3.74,AR,2022-04-26 19:01:49
83,Spirit River,55.7833,-118.8361,49.21,45,100,3.96,CA,2022-04-26 19:04:44
84,Saskylakh,71.9167,114.0833,-3.46,98,98,3.33,RU,2022-04-26 19:04:45
85,Bonavista,48.6499,-53.1147,36.23,88,41,7.63,CA,2022-04-26 19:04:45
86,Chuy,-33.6971,-53.4616,72.14,79,81,10.07,UY,2022-04-26 19:04:45
87,Hithadhoo,-0.6,73.0833,84.92,73,100,7.83,MV,2022-04-26 19:04:46
88,Ayagoz,47.9714,80.4392,44.28,37,92,4.74,KZ,2022-04-26 19:04:46
89,Karatau,43.1667,70.4667,58.68,52,100,4.97,KZ,2022-04-26 19:04:47
90,Gasa,31.5,34.4667,65.82,73,100,8.99,PS,2022-04-26 19:01:37
91,Fare,-16.7,-151.0167,82.62,71,15,21.27,PF,2022-04-26 19:04:48
92,Camopi,3.1655,-52.3158,80.71,88,98,3.94,GF,2022-04-26 19:04:48
93,Hermanus,-34.4187,19.2345,50.81,75,0,8.32,ZA,2022-04-26 19:05:49
94,Yerbogachen,61.2767,108.0108,22.98,97,36,3.85,RU,2022-04-26 19:05:49
95,Clyde River,70.4692,-68.5914,16.03,92,100,29.93,CA,2022-04-26 19:05:49
96,Lavrentiya,65.5833,-171.0,21.06,88,97,3.36,RU,2022-04-26 19:05:50
97,Norman Wells,65.282,-126.8329,37.17,88,100,5.88,CA,2022-04-26 19:03:48
98,Anuchino,43.9622,133.0544,37.74,73,90,17.36,RU,2022-04-26 19:05:50
99,Senno,59.5336,33.9167,34.27,90,86,6.26,RU,2022-04-26 19:05:51
100,Torbay,47.6666,-52.7314,43.75,88,100,14.0,CA,2022-04-26 19:03:18
101,Victoria,22.2855,114.1577,80.96,88,0,5.99,HK,2022-04-26 19:05:51
102,Esperance,-33.8667,121.9,61.07,65,1,8.34,AU,2022-04-26 19:03:55
103,Hrubieszow,50.805,23.8925,46.49,88,99,4.97,PL,2022-04-26 19:05:52
104,Evensk,61.95,159.2333,26.33,89,100,6.51,RU,2022-04-26 19:05:52
105,Sitka,57.0531,-135.33,44.49,81,100,4.61,US,2022-04-26 19:05:53
106,Salalah,17.0151,54.0924,80.35,77,1,1.66,OM,2022-04-26 19:03:04
107,Bambous Virieux,-20.3428,57.7575,76.21,79,28,12.97,MU,2022-04-26 19:02:15
108,Kaeo,-35.1,173.7833,57.33,93,20,4.03,NZ,2022-04-26 19:05:54
109,Port Blair,11.6667,92.75,83.46,76,100,1.97,IN,2022-04-26 19:05:54
110,Winnemucca,40.973,-117.7357,66.25,20,0,12.66,US,2022-04-26 19:03:06
111,Ponta Do Sol,32.6667,-17.1,67.01,71,43,5.5,PT,2022-04-26 19:05:54
112,Odweyne,9.4092,45.064,78.93,55,85,8.12,SO,2022-04-26 19:05:55
113,Badou,7.5833,0.6,76.59,87,100,1.77,TG,2022-04-26 19:05:55
114,Otradnoye,59.7775,30.8181,42.85,78,89,7.85,RU,2022-04-26 19:05:56
115,Hasaki,35.7333,140.8333,73.8,88,100,34.05,JP,2022-04-26 19:05:56
116,Vung Tau,10.346,107.0843,82.78,78,100,6.53,VN,2022-04-26 19:05:56
117,Saint-Pierre,-21.3393,55.4781,73.29,76,0,6.91,RE,2022-04-26 19:05:57
118,Bluff,-46.6,168.3333,51.8,80,71,8.63,NZ,2022-04-26 19:02:10
119,Atuona,-9.8,-139.0333,78.93,75,24,23.82,PF,2022-04-26 19:05:58
120,Saint George,37.1041,-113.5841,83.79,8,0,5.75,US,2022-04-26 19:01:41
121,Mashhad,36.297,59.6062,69.94,49,75,4.61,IR,2022-04-26 19:02:04
122,Ancud,-41.8697,-73.8203,41.23,68,100,15.86,CL,2022-04-26 19:05:58
123,Mvuma,-19.2792,30.5283,60.33,92,62,9.64,ZW,2022-04-26 19:05:59
124,Lagoa,39.05,-27.9833,61.36,81,100,20.98,PT,2022-04-26 19:04:25
125,Necochea,-38.5473,-58.7368,69.69,77,100,17.83,AR,2022-04-26 19:05:59
126,Klaksvik,62.2266,-6.589,41.92,67,100,6.64,FO,2022-04-26 19:06:00
127,Coxim,-18.5067,-54.76,95.81,33,100,12.21,BR,2022-04-26 19:06:00
128,Te Anau,-45.4167,167.7167,44.73,90,42,0.16,NZ,2022-04-26 19:02:11
129,Sept-Iles,50.2001,-66.3821,37.06,94,100,4.0,CA,2022-04-26 19:03:04
130,Cockburn Town,21.4612,-71.1419,76.53,68,3,18.92,TC,2022-04-26 19:06:01
131,Umm Kaddadah,13.6017,26.6876,88.34,17,100,9.35,SD,2022-04-26 19:06:01
132,Sorong,-0.8833,131.25,78.71,84,100,3.53,ID,2022-04-26 19:06:02
133,Vaini,-21.2,-175.2,73.56,78,20,9.22,TO,2022-04-26 19:06:02
134,Rio Grande,-32.035,-52.0986,75.94,79,10,13.33,BR,2022-04-26 19:03:47
135,Bone,51.9669,12.1396,53.98,55,64,6.13,DE,2022-04-26 19:06:03
136,Upernavik,72.7868,-56.1549,30.2,71,97,5.99,GL,2022-04-26 19:06:04
137,Cherskiy,68.75,161.3,26.65,81,100,4.25,RU,2022-04-26 19:02:23
138,Poum,-20.2333,164.0167,75.78,63,100,14.34,NC,2022-04-26 19:07:05
139,Coahuayana,18.7333,-103.6833,89.78,39,0,8.5,MX,2022-04-26 19:07:05
140,Altamira,-3.2033,-52.2064,80.15,89,100,4.76,BR,2022-04-26 19:07:05
141,Veraval,20.9,70.3667,81.23,78,0,13.69,IN,2022-04-26 19:07:06
142,Carnarvon,-24.8667,113.6333,71.67,53,40,21.85,AU,2022-04-26 19:07:06
143,Awjilah,29.1081,21.2869,84.63,13,94,14.32,LY,2022-04-26 19:07:07
144,Yushu,44.8,126.5333,41.27,44,0,13.94,CN,2022-04-26 19:07:07
145,Amapa,1.0,-52.0,79.3,95,100,3.71,BR,2022-04-26 19:07:08
146,Lokosovo,61.1333,74.8167,27.32,97,36,3.96,RU,2022-04-26 19:07:08
147,Marsh Harbour,26.5412,-77.0636,75.67,66,0,11.25,BS,2022-04-26 19:07:09
148,Rawlins,41.7911,-107.2387,62.49,20,20,18.41,US,2022-04-26 19:03:13
149,Jawhar,2.7809,45.5005,81.59,69,100,7.78,SO,2022-04-26 19:07:10
150,Aykhal,66.0,111.5,9.32,99,77,4.03,RU,2022-04-26 19:07:10
151,Cabo San Lucas,22.8909,-109.9124,87.62,30,0,11.5,MX,2022-04-26 19:07:11
152,Ponta Delgada,37.7333,-25.6667,63.32,77,20,12.66,PT,2022-04-26 19:07:11
153,Toyo,10.7333,125.0167,78.1,93,100,5.21,PH,2022-04-26 19:07:12
154,Meadow Lake,34.8014,-106.5436,72.79,18,97,17.31,US,2022-04-26 19:02:29
155,Minnedosa,50.2453,-99.8436,24.62,85,88,9.55,CA,2022-04-26 19:07:13
156,Nemuro,43.3236,145.575,41.54,100,100,7.18,JP,2022-04-26 19:07:13
157,Ullapool,57.8987,-5.1604,48.34,64,39,7.67,GB,2022-04-26 19:07:14
158,Mitsamiouli,-11.3847,43.2844,81.25,78,12,5.1,KM,2022-04-26 19:03:06
159,Puerto Madero,14.7208,-92.4215,91.6,58,75,10.36,MX,2022-04-26 19:07:14
160,Miramar,25.9873,-80.2323,86.02,56,20,11.5,US,2022-04-26 19:07:10
161,Walker,30.7335,-95.5669,76.78,50,0,5.75,US,2022-04-26 19:07:15
162,Namibe,-15.1961,12.1522,71.91,74,3,5.08,AO,2022-04-26 19:07:16
163,Fairbanks,64.8378,-147.7164,44.02,57,98,0.96,US,2022-04-26 19:03:16
164,Barretos,-20.5572,-48.5678,89.62,33,78,2.73,BR,2022-04-26 19:07:17
165,Inhambane,-23.865,35.3833,73.44,71,74,14.34,MZ,2022-04-26 19:07:17
166,Vestmannaeyjar,63.4427,-20.2734,47.39,81,75,4.61,IS,2022-04-26 19:07:17
167,Sabha,27.0377,14.4283,87.96,7,100,11.86,LY,2022-04-26 19:07:18
168,Naze,28.3667,129.4833,73.94,85,100,15.1,JP,2022-04-26 19:07:18
169,Erzin,36.9559,36.2,64.76,52,0,1.92,TR,2022-04-26 19:07:19
170,Caravelas,-17.7125,-39.2481,81.19,64,0,6.13,BR,2022-04-26 19:07:19
171,Talara,-4.5772,-81.2719,81.36,54,0,17.27,PE,2022-04-26 19:07:19
172,Saldanha,-33.0117,17.9442,58.73,79,0,17.02,ZA,2022-04-26 19:03:57
173,Faya,18.3851,42.4509,55.92,38,3,3.89,SA,2022-04-26 19:05:25
174,Dubrovka,53.6907,33.5071,48.36,88,100,5.32,RU,2022-04-26 19:07:20
175,Soe,-9.8607,124.284,62.46,68,100,2.95,ID,2022-04-26 19:07:21
176,Chara,56.9064,118.2631,20.01,66,91,2.66,RU,2022-04-26 19:07:21
177,Goderich,43.7501,-81.7165,41.92,93,100,10.11,CA,2022-04-26 19:07:22
178,Nanortalik,60.1432,-45.2371,37.17,84,100,5.06,GL,2022-04-26 19:07:22
179,Sarhari,26.0977,68.4786,91.4,33,0,6.91,PK,2022-04-26 19:07:23
180,Portland,45.5234,-122.6762,54.77,74,75,14.0,US,2022-04-26 19:06:36
181,Chapais,49.7834,-74.8492,35.38,81,100,9.86,CA,2022-04-26 19:07:23
182,Grindavik,63.8424,-22.4338,45.07,76,75,4.61,IS,2022-04-26 19:07:24
183,Santa Cruz,-17.8,-63.1667,89.65,58,75,26.46,BO,2022-04-26 19:06:29
184,Puerto Escondido,15.85,-97.0667,86.83,66,20,8.05,MX,2022-04-26 19:08:25
185,Henties Bay,-22.116,14.2845,63.46,70,0,7.18,NA,2022-04-26 19:08:25
186,Rawson,-43.3002,-65.1023,63.43,28,100,21.81,AR,2022-04-26 19:08:26
187,Sisimiut,66.9395,-53.6735,33.76,93,100,16.06,GL,2022-04-26 19:08:26
188,Mweka,-4.85,21.5667,67.46,99,100,0.43,CD,2022-04-26 19:08:26
189,Bekhtery,46.251,32.2927,55.47,68,3,8.52,UA,2022-04-26 19:08:27
190,Pevek,69.7008,170.3133,23.22,72,100,8.05,RU,2022-04-26 19:08:27
191,Zhigansk,66.7697,123.3711,4.01,95,31,8.95,RU,2022-04-26 19:08:28
192,Lebu,-37.6167,-73.65,52.95,78,8,10.94,CL,2022-04-26 19:08:28
193,Los Llanos De Aridane,28.6585,-17.9182,62.35,78,40,17.27,ES,2022-04-26 19:08:29
194,Carballo,43.213,-8.691,58.77,85,5,0.72,ES,2022-04-26 19:08:29
195,Katsuura,35.1333,140.3,68.02,92,100,31.52,JP,2022-04-26 19:08:29
196,Nakusp,50.2499,-117.8023,48.4,93,100,1.99,CA,2022-04-26 19:08:30
197,Micheweni,-4.9667,39.8333,79.79,84,97,10.6,TZ,2022-04-26 19:08:30
198,Ostrovnoy,68.0531,39.5131,17.6,69,3,16.28,RU,2022-04-26 19:08:31
199,Nome,64.5011,-165.4064,37.17,92,0,0.0,US,2022-04-26 19:08:31
200,Gariaband,20.635,82.0614,82.18,17,4,3.8,IN,2022-04-26 19:08:31
201,Abha,18.2164,42.5053,55.65,67,0,0.0,SA,2022-04-26 19:08:32
202,Korla,41.7597,86.1469,59.76,28,0,6.89,CN,2022-04-26 19:08:32
203,Richards Bay,-28.783,32.0377,66.24,76,99,7.18,ZA,2022-04-26 19:08:33
204,Certegui,5.3707,-76.6044,83.57,84,100,3.56,CO,2022-04-26 19:08:33
205,Launceston,-41.45,147.1667,51.15,90,100,5.75,AU,2022-04-26 19:03:51
206,Arlit,18.7369,7.3853,87.35,10,0,10.42,NE,2022-04-26 19:08:33
207,Yar-Sale,66.8333,70.8333,30.13,95,100,18.39,RU,2022-04-26 19:08:34
208,Porto Velho,-8.7619,-63.9039,93.25,46,40,5.75,BR,2022-04-26 19:08:24
209,Barentu,15.1139,37.5928,87.96,14,100,8.14,ER,2022-04-26 19:08:35
210,Ternate,0.8,127.4,80.87,80,100,4.65,ID,2022-04-26 19:08:35
211,Banjarmasin,-3.3244,114.591,75.34,95,100,1.5,ID,2022-04-26 19:08:37
212,Pitea,65.3172,21.4794,32.09,69,100,8.34,SE,2022-04-26 19:08:37
213,Altay,47.8667,88.1167,37.78,81,43,3.78,CN,2022-04-26 19:05:12
214,Uray,60.1247,64.7758,49.19,80,100,13.65,RU,2022-04-26 19:08:38
215,Sao Filipe,14.8961,-24.4956,75.81,69,20,14.14,CV,2022-04-26 19:08:39
216,Puerto Carreno,6.189,-67.4859,82.49,75,100,1.39,CO,2022-04-26 19:08:39
217,Longyearbyen,78.2186,15.6401,1.24,71,75,17.27,SJ,2022-04-26 19:08:40
218,Monte Santo,-10.4378,-39.3328,81.21,55,90,11.25,BR,2022-04-26 19:08:40
219,Siavonga,-16.5382,28.7088,79.0,64,98,2.15,ZM,2022-04-26 19:08:41
220,Tateyama,34.9833,139.8667,69.1,88,75,18.41,JP,2022-04-26 19:08:42
221,Eucaliptus,-17.5833,-67.5167,62.92,12,12,3.89,BO,2022-04-26 19:08:42
222,Svetlaya,46.5389,138.3297,34.59,99,100,1.95,RU,2022-04-26 19:08:43
223,Khani,41.9563,42.9566,47.77,88,92,1.77,GE,2022-04-26 19:08:43
224,High Level,58.5169,-117.136,47.41,84,96,4.76,CA,2022-04-26 19:08:44
225,Riviere-Au-Renard,48.9957,-64.3971,46.69,96,100,8.12,CA,2022-04-26 19:08:44
226,Miles City,46.4083,-105.8406,59.97,44,0,13.8,US,2022-04-26 19:08:45
227,Flinders,-34.5833,150.8552,62.19,93,100,5.99,AU,2022-04-26 19:08:45
228,Agua Verde,22.9,-106.05,82.49,55,9,8.68,MX,2022-04-26 19:08:46
229,Hami,42.8,93.45,55.56,54,100,7.74,CN,2022-04-26 19:06:35
230,Uyskoye,54.3775,60.0047,55.06,66,100,6.04,RU,2022-04-26 19:09:46
231,Mittagong,-34.45,150.45,55.0,99,100,1.95,AU,2022-04-26 19:09:47
232,Port Lincoln,-34.7333,135.8667,61.34,88,0,4.52,AU,2022-04-26 19:09:00
233,Nioro,13.35,-15.75,99.18,14,29,8.05,GM,2022-04-26 19:09:47
234,Bacabac,15.7333,120.4167,78.33,81,22,5.19,PH,2022-04-26 19:09:48
235,Jorpeland,59.0225,6.0408,48.02,75,19,1.45,NO,2022-04-26 19:09:48
236,Mahebourg,-20.4081,57.7,76.24,80,22,13.24,MU,2022-04-26 19:09:49
237,Fort Walton Beach,30.4058,-86.6188,84.85,74,0,13.8,US,2022-04-26 19:09:49
238,Vanimo,-2.6741,141.3028,78.15,89,100,6.11,PG,2022-04-26 19:09:49
239,Las Tunas,20.9617,-76.9511,87.62,39,9,16.71,CU,2022-04-26 19:09:50
240,Liberty,31.8335,-81.5004,89.71,42,40,8.05,US,2022-04-26 19:09:50
241,Shymkent,42.3,69.6,61.39,67,40,4.47,KZ,2022-04-26 19:09:51
242,Latung,5.5,120.8833,80.31,86,100,9.4,PH,2022-04-26 19:09:51
243,Angoram,-4.0625,144.0661,72.86,96,54,1.16,PG,2022-04-26 19:09:52
244,Samarinda,-0.5,117.15,72.66,98,92,1.36,ID,2022-04-26 19:09:52
245,Nouakchott,18.0858,-15.9785,71.53,75,0,19.93,MR,2022-04-26 19:06:42
246,Siuna,13.7332,-84.7773,81.73,76,100,4.34,NI,2022-04-26 19:09:53
247,Kodiak,57.79,-152.4072,45.91,53,100,12.66,US,2022-04-26 19:09:53
248,Bethel,41.3712,-73.414,56.62,91,100,0.0,US,2022-04-26 19:09:53
249,La Ronge,55.1001,-105.2842,38.12,63,0,13.24,CA,2022-04-26 19:09:54
